Rank_2020,Company,sales_2020 ,Profits_2020,Assets_2020,Market_Value_2020
#366,Biogen,$12.8 B,$5.9 B,$26.1 B,$48.4 B
#367,Mitsui Fudosan,$17.5 B,$1.5 B,$67.2 B,$18.2 B
#368,Canadian National Railway,$11.2 B,$3.3 B,$32.6 B,$58.8 B
#369,Booking Holdings,$15.1 B,$4.9 B,$21.4 B,$60.6 B
#370,NN Group,$18.9 B,$2.2 B,$277.9 B,$9.3 B
#371,Fosun International,$20.7 B,$2.1 B,$102.7 B,$10.8 B
#372,Wilmar International,$42.6 B,$1.3 B,$47 B,$16.1 B
#373,General Mills,$16.8 B,$2.1 B,$30.2 B,$36.3 B
#374,Carrefour,$83 B,$1.3 B,$57 B,$11.8 B
#375,Daikin Industries,$23.5 B,$1.7 B,$26.1 B,$38.3 B
#375,Tata Consultancy Services,$22.1 B,$4.6 B,$16 B,$100.7 B
#377,Power Corp of Canada,$31.5 B,$874 M,$352.1 B,$11.5 B
#378,Boston Scientific,$10.8 B,$4.3 B,$30.6 B,$52.4 B
#379,Discover Financial Services,$14.1 B,$2.2 B,$112.7 B,$13.1 B
#380,Synchrony Financial,$15.3 B,$2.9 B,$98 B,$11.6 B
#381,Michelin Group,$27 B,$1.9 B,$35.6 B,$17.4 B
#382,Paccar,$24.3 B,$2.1 B,$27.3 B,$23.9 B
#383,Sumitomo Mitsui Trust,$13.8 B,$1.8 B,$509.3 B,$11.1 B
#384,Xiaomi,$29.8 B,$1.5 B,$26.4 B,$31.5 B
#385,Hartford Financial Services,$20.5 B,$1.7 B,$68.7 B,$13.6 B
#385,Philips,$21.8 B,$1.3 B,$30.3 B,$38.8 B
#387,IntercontinentalExchange,$6.6 B,$2.1 B,$138.9 B,$49.1 B
#388,Norfolk Southern,$11.1 B,$2.4 B,$37.4 B,$43.8 B
#389,BAE Systems,$23.4 B,$1.9 B,$34.5 B,$20.6 B
#389,Indian Oil,$69.9 B,$1.8 B,$47.1 B,$10.6 B
#391,Bank of Ningbo,$8.6 B,$2.1 B,$202.9 B,$20.8 B
#391,Sysco,$60.5 B,$1.8 B,$19.4 B,$28.6 B
#393,CNP Assurances,$46.6 B,$1.5 B,$470.3 B,$7.1 B
#394,Denso,$47.4 B,$626 M,$52.4 B,$27.6 B
#394,Newmont Mining,$9.7 B,$2.8 B,$40 B,$48 B
#396,National Commercial Bank,$6.8 B,$3.1 B,$135.2 B,$29.6 B
#397,Adidas,$25 B,$1.5 B,$22.8 B,$44.9 B
#398,CTBC Financial,$14.1 B,$1.4 B,$207.5 B,$13.1 B
#398,Danske Bank,$16 B,$1.5 B,$589.3 B,$10.1 B
#400,China National Building,$36.6 B,$1.6 B,$64.1 B,$10.6 B
#401,Richemont,$16.4 B,$1.6 B,$34 B,$32.1 B
#402,Sberbank,$47.6 B,$10.6 B,$410 M,$59.9 B
#403,VMware,$10.2 B,$6.4 B,$26.3 B,$55 B
#404,Nippon Steel,$55.7 B,$2.3 B,$71.4 B,$7.9 B
#405,Komatsu,$23.2 B,$1.9 B,$34.3 B,$18.2 B
#405,Transneft,$16.4 B,$2.8 B,$54.3 B,$13.4 B
#407,Talanx,$43.6 B,$1 B,$193 B,$9 B
#407,Xcel Energy,$11.5 B,$1.4 B,$52.7 B,$33.4 B
#409,Consolidated Edison,$12.5 B,$1.3 B,$58.1 B,$26.3 B
#409,Naturgy Energy Group,$24.2 B,$1.4 B,$44 B,$17.1 B
#411,Fiserv,$10.2 B,$893 M,$77.5 B,$69.7 B
#412,Bank Of Jiangsu,$13.8 B,$2 B,$309.8 B,$9.9 B
#413,Boeing,$70.6 B,$-3.4 B,$143.1 B,$79.6 B
#414,Waste Management,$15.5 B,$1.7 B,$28.2 B,$42.4 B
#415,Woolworths,$43 B,$1.1 B,$25.8 B,$29.5 B
#416,Texas Instruments,$14.1 B,$4.9 B,$17.3 B,$106.5 B
#417,Hyundai Mobis,$31.9 B,$1.8 B,$38.7 B,$13.2 B
#418,Adobe,$11.6 B,$3.2 B,$21.2 B,$170.4 B
#419,DuPont de Nemours,$35.7 B,$496 M,$69.4 B,$34.5 B
#420,Hana Financial Group,$28.3 B,$2.1 B,$364.5 B,$6.6 B
#421,L3Harris Technologies,$12.9 B,$1.3 B,$38.3 B,$42 B
#422,Fujitsu,$35.7 B,$1.4 B,$28.7 B,$20 B
#423,Shimao Property Holdings,$16.2 B,$1.6 B,$67.7 B,$13.9 B
#424,Norilsk Nickel,$13.6 B,$5.8 B,$19.4 B,$43.8 B
#425,Imperial Brands,$20.5 B,$1.3 B,$41.6 B,$20 B
#426,China Zheshang Bank,$13.4 B,$1.7 B,$257.7 B,$10.3 B
#427,Tokyo Electric Power,$58.9 B,$5.2 B,$110.8 B,$5.4 B
#428,Fast Retailing,$20.5 B,$1.4 B,$22.8 B,$49.2 B
#429,Emerson Electric,$18 B,$2.2 B,$21.7 B,$34.1 B
#429,Toyota Industries,$20 B,$1.3 B,$48.9 B,$15.8 B
#431,Femsa,$26.3 B,$1 B,$33.8 B,$23.4 B
#432,Hewlett Packard Enterprise,$28.4 B,$1.2 B,$52.2 B,$13 B
#433,China Yangtze Power,$7.5 B,$3.4 B,$41.8 B,$54.4 B
#434,Recruit Holdings,$21.9 B,$1.8 B,$18.3 B,$49.1 B
#435,Keurig Dr Pepper,$11.2 B,$1.2 B,$48.8 B,$37.2 B
#436,Applied Materials,$15 B,$2.8 B,$19.8 B,$45.6 B
#436,Edison International,$12.3 B,$1.3 B,$64.4 B,$21.3 B
#436,Principal Financial Group,$17.1 B,$1.3 B,$246.9 B,$10 B
#439,AIRBUS,$76.2 B,$-2.1 B,$128.4 B,$49.6 B
#440,CME Group,$5.2 B,$2.4 B,$137.9 B,$63.9 B
#441,OMV Group,$26.3 B,$1.9 B,$47.7 B,$10.7 B
#442,Marubeni,$63.6 B,$1.4 B,$62.7 B,$8.5 B
#443,AmerisourceBergen,$182.1 B,$649 M,$40 B,$18.5 B
#443,Larsen & Toubro,$20.8 B,$1.4 B,$40.4 B,$16.8 B
#445,Bouygues,$42.5 B,$1.3 B,$44.2 B,$11.7 B
#446,Nutrien,$20 B,$999 M,$46.8 B,$20.4 B
#447,Kansai Electric Power,$30.1 B,$1.5 B,$68.6 B,$9.2 B
#448,Sherwin-Williams,$18 B,$1.6 B,$20.6 B,$48.7 B
#449,Fujifilm Holdings,$21.7 B,$1.4 B,$31.8 B,$19.7 B
#450,American Tower,$7.8 B,$1.9 B,$40.8 B,$105.5 B
#451,Pernod Ricard,$10.6 B,$1.6 B,$36.8 B,$40 B
#452,VTB Bank,$23 B,$2.9 B,$249.8 B,$6.1 B
#453,Telstra,$16.6 B,$1.4 B,$32 B,$23.7 B
#454,Lennar,$22.9 B,$2 B,$29.2 B,$15.6 B
#455,Chubu Electric Power,$28.6 B,$1.6 B,$49.8 B,$10.3 B
#455,Ecolab,$15 B,$1.5 B,$22.3 B,$56 B
#457,Cummins,$22.6 B,$2.1 B,$20.1 B,$24.1 B
#458,Marriott International,$21 B,$1.3 B,$25.1 B,$29.5 B
#459,SEB AB,$7.2 B,$1.9 B,$331.6 B,$17.8 B
#460,Investor AB,$7.3 B,$2.7 B,$48.7 B,$38.5 B
#461,JBS,$51.8 B,$1.5 B,$31.4 B,$11.7 B
#462,CaixaBank,$11.3 B,$1.4 B,$456.9 B,$10.7 B
#462,National Bank of Canada,$9 B,$1.7 B,$218.7 B,$13.6 B
#464,Svenska Handelsbanken,$7.2 B,$1.7 B,$363 B,$18.3 B
#465,Vodafone,$49.4 B,$-2.5 B,$174.4 B,$37.9 B
#466,Sampo,$12.7 B,$1.3 B,$58.1 B,$18.4 B
#467,Power Construction Corporation of China,$50.1 B,$1 B,$116.7 B,$7.7 B
#468,Carnival,$20.9 B,$1.9 B,$46.9 B,$10.9 B
#468,Eni,$72.5 B,$-4.3 B,$131.7 B,$34.1 B
#468,The Estée Lauder Companies,$15.8 B,$1.9 B,$17.9 B,$63.4 B
#471,Fifth Third Bank,$9 B,$1.8 B,$185.4 B,$13.3 B
#472,ViacomCBS,$18.1 B,$2.1 B,$49.5 B,$10.6 B
#473,Al Rajhi Bank,$5.3 B,$2.8 B,$102.4 B,$38.1 B
#473,China Fortune Land Development,$15.1 B,$2.1 B,$67 B,$10.1 B
#475,Kimberly-Clark,$18.8 B,$2.4 B,$15.7 B,$47.2 B
#476,Fortescue Metals Group,$12.9 B,$5 B,$21.3 B,$24.1 B
#477,Public Service Enterprise Group,$9.5 B,$1.7 B,$47.7 B,$25.6 B
#478,KIA Motors,$50.9 B,$1.2 B,$45.8 B,$9.8 B
#479,Subaru,$30 B,$1.3 B,$29.1 B,$15.6 B
#480,Suzuki Motor,$33.6 B,$1.1 B,$31.7 B,$15.7 B
#481,Mitsubishi Heavy Industries,$37 B,$1.5 B,$51 B,$8.7 B
#482,Southwest Airlines,$21.5 B,$1.8 B,$26.9 B,$15.9 B
#483,Mitsubishi Estate,$11.2 B,$1.1 B,$55.2 B,$22.3 B
#484,Glencore International,$215.1 B,$-416 M,$124.1 B,$24.5 B
#485,Aon,$11 B,$1.5 B,$29.4 B,$39.9 B
#486,Ford Motor,$149.9 B,$-3.1 B,$264.2 B,$20.2 B
#487,Bank Central Asia,$6 B,$2 B,$66.2 B,$42.8 B
#487,Thales,$20.6 B,$1.3 B,$35 B,$16.1 B
#489,NVIDIA,$10.9 B,$2.8 B,$17.3 B,$179 B
#490,Suning.com,$38.8 B,$1.4 B,$34 B,$10.9 B
#490,Takeda Pharmaceutical,$29.7 B,$-498 M,$119.9 B,$56.6 B
#492,EnBW-Energie Baden,$22.3 B,$822 M,$52.4 B,$14.7 B
#493,Valero Energy,$106.1 B,$422 M,$47.7 B,$25.8 B
#494,Colgate-Palmolive,$15.7 B,$2.4 B,$15 B,$60.3 B
#495,Bank Mandiri,$8.6 B,$1.9 B,$95 B,$14 B
#496,H&M - Hennes & Mauritz,$24.8 B,$1.5 B,$19.3 B,$23.1 B
#497,NTPC,$13.5 B,$1.8 B,$47.7 B,$12.6 B
#498,Murata Manufacturing,$14 B,$1.7 B,$20.6 B,$36 B
#498,SingTel,$12.5 B,$933 M,$36.4 B,$32.7 B
#500,Las Vegas Sands,$11.9 B,$2.1 B,$21.2 B,$36.7 B
#500,Magna International,$39.4 B,$1.8 B,$25.8 B,$11.7 B
#502,Weichai Power,$24.1 B,$1.2 B,$33.1 B,$13.9 B
#503,Fairfax Financial,$20.7 B,$2 B,$70.5 B,$7.5 B
#504,China Tower Corp.,$11.1 B,$756 M,$48.5 B,$39.3 B
#505,Compass Group,$31.7 B,$1.4 B,$16.4 B,$26.8 B
#506,Entergy,$10.8 B,$1.3 B,$51.7 B,$19.2 B
#507,Erste Group Bank,$11.2 B,$1.5 B,$276.7 B,$8.9 B
#508,Toyota Tsusho,$61.6 B,$1.2 B,$42.1 B,$8.5 B
#509,Citic Securities,$6 B,$1.8 B,$113.7 B,$23.4 B
#510,Samsung C&T,$25.7 B,$970 M,$34.8 B,$14.3 B
#511,Illinois Tool Works,$14.1 B,$2.5 B,$15.1 B,$51.6 B
#512,Nissan Motor,$96.3 B,$383 M,$166.4 B,$13.5 B
#513,FedEx,$69.7 B,$-350 M,$70 B,$33.1 B
#513,Vale,$36.2 B,$179 M,$84.8 B,$42.5 B
#515,eBay,$10.5 B,$4.7 B,$18.9 B,$31.7 B
#515,Wesfarmers,$19.9 B,$1.4 B,$18.3 B,$28 B
#517,Bank of Nanjing,$8.7 B,$1.7 B,$209 B,$10.9 B
#518,M&G,$41.7 B,$1.4 B,$283.9 B,$4.3 B
#519,Asahi Group Holdings,$19.2 B,$1.3 B,$28.9 B,$16 B
#520,Atlantia,$10.4 B,$1.2 B,$91.1 B,$13.3 B
#521,DTE Energy,$12 B,$1.1 B,$43.2 B,$20 B
#522,Kotak Mahindra Bank,$7.4 B,$1.2 B,$56.5 B,$34.6 B
#523,Aegon,$29.5 B,$1.4 B,$470.9 B,$5.3 B
#524,Carrier Global,$18.6 B,$2.1 B,$22.4 B,$15.3 B
#525,United Airlines Holdings,$41.6 B,$1 B,$53.1 B,$8.5 B
#526,Northern Trust,$6.9 B,$1.5 B,$161.7 B,$16.5 B
#527,Swisscom,$11.5 B,$1.7 B,$25 B,$26.9 B
#528,CNH Industrial,$28.1 B,$1.4 B,$47.4 B,$8.4 B
#529,Kubota,$17.6 B,$1.4 B,$28.9 B,$15.4 B
#529,Samsung Life Insurance,$23.8 B,$838 M,$270.4 B,$7.2 B
#531,Best Buy,$43.6 B,$1.5 B,$15.6 B,$19.8 B
#532,Haier Smart Home,$27.6 B,$1.1 B,$26.6 B,$14.4 B
#533,Cognizant,$16.8 B,$1.8 B,$16.2 B,$31.8 B
#534,Nintendo,$11.2 B,$2 B,$17.5 B,$49.7 B
#535,McKesson,$224.9 B,$-917 M,$60.9 B,$25 B
#536,FirstRand,$7.5 B,$2 B,$122.7 B,$12.4 B
#537,China Cinda Asset Management,$11.1 B,$1.9 B,$217.2 B,$7.4 B
#538,Hengli Petrochemical,$16.2 B,$1.7 B,$27.8 B,$14.1 B
#539,Tatneft,$14.8 B,$3 B,$19.9 B,$16.7 B
#540,Tenaga Nasional,$12.3 B,$1.1 B,$43.7 B,$16.2 B
#541,SK Holdings,$85.1 B,$615 M,$114.2 B,$7.3 B
#542,Deutsche Bank,$37.7 B,$-6.1 B,"$1,636.2 B",$15.3 B
#543,M&T Bank,$6.8 B,$1.7 B,$124.6 B,$14.6 B
#544,Standard Bank Group,$9.3 B,$1.8 B,$162.7 B,$8.9 B
#545,China Taiping Insurance,$31.8 B,$1.1 B,$116.3 B,$6.1 B
#546,Telecom Italia,$20.1 B,$1 B,$78.7 B,$8.3 B
#547,Astellas Pharma,$11.8 B,$2 B,$18.3 B,$30.7 B
#548,Veolia Environnement,$30.4 B,$693 M,$46 B,$11.8 B
#549,Grupo Mexico,$10.7 B,$2.2 B,$29.1 B,$16.8 B
#549,Kyocera,$14.7 B,$991 M,$30.1 B,$19.6 B
#549,Rogers Communications,$11.2 B,$1.5 B,$28.2 B,$21.2 B
#552,Loews,$14.8 B,$932 M,$82.2 B,$9.8 B
#552,Trane Technologies,$16.6 B,$1.4 B,$20.5 B,$20.9 B
#554,Air Products & Chemicals,$9 B,$2 B,$19.5 B,$49.8 B
#555,Aeon,$78.9 B,$246 M,$102.6 B,$17.1 B
#556,Sinopharm Group,$61.5 B,$904 M,$38.7 B,$8.4 B
#557,PPL,$7.8 B,$1.7 B,$45.7 B,$19.5 B
#558,EXOR,$160.9 B,$-801 M,$193.8 B,$12.7 B
#559,RELX,$10 B,$1.9 B,$18.3 B,$43.6 B
#560,Lincoln National,$17.2 B,$885 M,$335.9 B,$6.9 B
#561,Allergan,$16.1 B,$-5.3 B,$94.7 B,$61.6 B
#561,NetEase,$9.8 B,$3.1 B,$16.1 B,$44.5 B
#563,Naspers,$3.3 B,$4.4 B,$35.2 B,$67.8 B
#564,Grupo ACS,$43.7 B,$1.1 B,$43.3 B,$7.6 B
#565,TELUS,$11 B,$1.3 B,$29.3 B,$20.7 B
#566,MTR,$7 B,$1.5 B,$37.1 B,$34.2 B
#567,KeyCorp,$7.6 B,$1.5 B,$156.2 B,$11.2 B
#568,Prologis,$3.5 B,$1.7 B,$55 B,$65.9 B
#569,Evonik,$14.7 B,$2.4 B,$26.2 B,$11.5 B
#570,Citizens Financial Group,$7.7 B,$1.8 B,$176.7 B,$9.6 B
#571,D.R. Horton,$18.5 B,$1.9 B,$17.1 B,$17.2 B
#572,Dow,$41.8 B,$-1.7 B,$60.7 B,$27.2 B
#573,Orsted,$8.1 B,$1.3 B,$28.5 B,$42.5 B
#574,Willis Towers Watson,$9.2 B,$1.1 B,$37.7 B,$23 B
#575,DISH Network,$12.8 B,$1.4 B,$33.6 B,$13.1 B
#576,Athene Holding,$11.7 B,$2.2 B,$146.9 B,$6.2 B
#577,Swedbank,$6.2 B,$1.3 B,$270 B,$13.2 B
#578,Salesforce.com,$17.1 B,$126 M,$55.1 B,$144.9 B
#579,Altria Group,$20.5 B,$-880 M,$52.6 B,$72.9 B
#580,Otsuka Holding,$12.8 B,$1.2 B,$23.8 B,$21.6 B
#581,Eversource Energy,$8.5 B,$909 M,$41.1 B,$26.7 B
#582,Sekisui House,$22.1 B,$1.3 B,$24.3 B,$11.8 B
#583,Parker-Hannifin,$14.2 B,$1.3 B,$20.4 B,$20.3 B
#584,Discovery,$11.1 B,$2 B,$33.7 B,$11.7 B
#585,Banorte,$11 B,$1.8 B,$74 B,$8 B
#586,Tesla,$26 B,$-144 M,$37.3 B,$144.2 B
#587,TD Ameritrade Holding,$5.8 B,$1.9 B,$51 B,$21.2 B
#588,Baxter International,$11.5 B,$1 B,$19.1 B,$45 B
#589,Deutsche Boerse,$3.7 B,$1.1 B,$154 B,$28.5 B
#590,Saudi Electricity,$17.3 B,$370 M,$127.9 B,$18.9 B
#591,Associated British Foods,$20.3 B,$901 M,$20.5 B,$18.9 B
#591,Sumitomo Realty,$9.3 B,$1.3 B,$47.8 B,$12.9 B
#593,WH Group,$24.1 B,$1.5 B,$17.3 B,$14.2 B
#594,Korea Electric Power,$50.7 B,$-2 B,$170.9 B,$12.6 B
#595,Williams,$8.2 B,$850 M,$47.7 B,$23.5 B
#596,WEC Energy Group,$7.5 B,$1.1 B,$35.8 B,$28.6 B
#597,Inpex,$12.2 B,$1.5 B,$44.6 B,$9.4 B
#598,Edp-energias De Portugal,$16.1 B,$573 M,$47.6 B,$15.3 B
#599,Mitsubishi Chemical,$34.1 B,$732 M,$49.8 B,$8.2 B
#600,Dollar Tree,$23.6 B,$827 M,$19.6 B,$18.9 B
#601,Bharat Petroleum,$42.6 B,$1.1 B,$20.5 B,$10.7 B
#602,Infosys,$12.8 B,$2.3 B,$12.3 B,$40.6 B
#603,MGM Resorts,$12 B,$2.8 B,$39.1 B,$8.3 B
#604,Kao,$13.7 B,$1.4 B,$14.5 B,$37.4 B
#605,International Paper,$22.1 B,$660 M,$33.2 B,$13.5 B
#606,CGN Power,$8.8 B,$1.2 B,$54.6 B,$12.6 B
#607,Formosa Petrochemical,$20.9 B,$1.2 B,$13.3 B,$28.7 B
#608,PPG,$14.9 B,$1.2 B,$18.1 B,$21.4 B
#609,Swire Pacific,$10.9 B,$1.1 B,$56.6 B,$9.9 B
#610,Coca-Cola European Partners,$13.4 B,$1.2 B,$21 B,$18.1 B
#610,CSL,$8.9 B,$2 B,$14.1 B,$92 B
#612,Coal India,$13.8 B,$2.6 B,$19.7 B,$12.3 B
#613,Woori Financial Group,$16.7 B,$1.1 B,$301.1 B,$5 B
#614,Daiichi Sankyo,$9 B,$1.2 B,$19.5 B,$44.7 B
#615,SK Telecom,$15.2 B,$750 M,$38.6 B,$12.7 B
#616,Fox,$11.7 B,$1.8 B,$20.5 B,$15.7 B
#617,Crown Castle International,$5.8 B,$911 M,$38.6 B,$66.4 B
#618,Ageas,$12.4 B,$1.1 B,$122 B,$6.9 B
#619,Republic Services,$10.3 B,$1.1 B,$22.7 B,$25 B
#620,Metallurgical Corp of China,$49.8 B,$964 M,$67.6 B,$3.6 B
#620,Neste,$17 B,$1.9 B,$10.8 B,$27.2 B
#622,Møller-Maersk,$38.9 B,$-73 M,$55.4 B,$20 B
#623,CBRE Group,$23.9 B,$1.3 B,$16.2 B,$14.4 B
#624,International Airlines,$28.6 B,$1.9 B,$40 B,$5.6 B
#625,Nokia,$25.8 B,$391 M,$43.6 B,$20.5 B
#626,Omnicom Group,$14.9 B,$1.3 B,$23.7 B,$12.2 B
#627,Essity Ab,$13.8 B,$1.1 B,$17.4 B,$22.8 B
#628,Ross Stores,$16 B,$1.7 B,$10.3 B,$32.5 B
#629,Industrial Bank of Korea,$13.8 B,$1.3 B,$275.1 B,$3.7 B
#630,Schlumberger,$32.5 B,$-17.9 B,$48.6 B,$23.3 B
#631,Deutsche Lufthansa,$40.8 B,$1.4 B,$48.7 B,$4.3 B
#632,Stanley Black & Decker,$14.2 B,$919 M,$22.9 B,$17 B
#632,Wheelock,$6.2 B,$1.2 B,$78.2 B,$15 B
#634,Asahi Kasei,$19.9 B,$1.2 B,$24.9 B,$9.9 B
#635,Kellogg,$13.5 B,$1 B,$18.2 B,$22.4 B
#636,SSE,$9 B,$1.6 B,$25.8 B,$16.3 B
#637,Daqin Railway,$10.9 B,$1.8 B,$21 B,$15.1 B
#638,Haitong Securities,$7 B,$1.4 B,$91.4 B,$10.5 B
#639,Fidelity National Information,$10.3 B,$298 M,$83.8 B,$81.5 B
#639,Henderson Land,$3.1 B,$2.2 B,$58.4 B,$19.8 B
#641,Regions Financial,$6.5 B,$1.4 B,$133.5 B,$10.3 B
#642,JFE Holdings,$34.9 B,$1.5 B,$45.4 B,$3.9 B
#643,NEC,$28 B,$762 M,$28 B,$10.1 B
#644,Capgemini,$15.8 B,$958 M,$20.4 B,$15.9 B
#645,Repsol,$55.2 B,$-4.3 B,$65 B,$13.5 B
#646,Continental,$49.8 B,$-1.4 B,$49.4 B,$16.9 B
#646,Regeneron Pharmaceuticals,$7.9 B,$2.1 B,$14.8 B,$59.2 B
#648,New World Development,$7.6 B,$1 B,$76.2 B,$12 B
#648,Royal Caribbean Cruises,$11 B,$1.9 B,$30.3 B,$9.8 B
#650,ArcelorMittal,$70.5 B,$-2.5 B,$87.9 B,$11.1 B
#650,Reckitt Benckiser Group,$16.4 B,$-4.7 B,$42.6 B,$59.4 B
#652,Vonovia,$4.2 B,$1.3 B,$63.4 B,$26.8 B
#653,Fortis (Canada),$6.6 B,$1.3 B,$42.3 B,$18 B
#654,Resona Holdings,$7.6 B,$1.3 B,$549.5 B,$7.2 B
#655,FirstEnergy,$10.9 B,$533 M,$42.1 B,$22.4 B
#656,Ally Financial,$11.3 B,$1 B,$182.5 B,$6.1 B
#657,Zimmer Biomet,$8 B,$1.1 B,$24.6 B,$24.7 B
#658,Atlas Copco,$10.9 B,$1.7 B,$12.1 B,$42.2 B
#659,Lam Research,$9.6 B,$2.1 B,$12.9 B,$37.1 B
#660,CLP Holdings,$10.9 B,$594 M,$28.4 B,$27 B
#661,Cardinal Health,$149.7 B,$-4.2 B,$41 B,$14.4 B
#662,Activision Blizzard,$6.5 B,$1.5 B,$19.8 B,$49.1 B
#663,West Japan Railway,$13.9 B,$822 M,$30.3 B,$11.9 B
#664,Public Bank,$5 B,$1.3 B,$105.8 B,$14.8 B
#665,WPP,$16.9 B,$702 M,$41.5 B,$9.5 B
#666,CarMax,$20.3 B,$888 M,$21.3 B,$12 B
#667,CNPC Capital,$5.4 B,$1.1 B,$134 B,$12.9 B
#668,Simon Property Group,$5.7 B,$2.1 B,$31.2 B,$20.4 B
#669,Occidental Petroleum,$18.5 B,$-672 M,$113 B,$14.9 B
#670,London Stock Exchange,$3 B,$532 M,"$1,064.6 B",$33 B
#671,Eiffage,$20.9 B,$812 M,$36.9 B,$8 B
#672,TE Connectivity,$13.1 B,$699 M,$19.4 B,$24.5 B
#673,Sodexo,$25.2 B,$756 M,$21.5 B,$11.6 B
#674,Sumitomo Electric,$28.9 B,$812 M,$29 B,$8.1 B
#675,Porsche Automobil Holding,$130 M,$4.9 B,$40.1 B,$15.4 B
#676,Reinsurance Group of America,$14.3 B,$870 M,$76.7 B,$6.5 B
#677,National Bank of Kuwait,$4.6 B,$1.3 B,$96.5 B,$16.3 B
#678,HeidelbergCement,$10.8 B,$983 M,$44.5 B,$9.4 B
#679,AutoZone,$12.1 B,$1.6 B,$12.9 B,$23.8 B
#680,Nidec,$14.1 B,$550 M,$19.6 B,$34.4 B
#681,Lenovo Group,$51.8 B,$741 M,$35 B,$6.5 B
#682,Johnson Controls International,$24.1 B,$278 M,$42.5 B,$22.2 B
#683,Unipol Gruppo,$17.6 B,$1 B,$84.3 B,$2.5 B
#684,S.F. Holding,$17.4 B,$781 M,$13.5 B,$29.2 B
#685,First Republic Bank,$4.3 B,$922 M,$123.9 B,$17.9 B
#686,Xiamen C&D,$50.1 B,$819 M,$47.1 B,$3.4 B
#687,Beijing-Shanghai High-Speed Railway,$4.8 B,$1.7 B,$26.6 B,$45.3 B
#688,Hong Kong Exchanges,$2.1 B,$1.2 B,$35.8 B,$41.1 B
#689,CIMB Group Holdings,$7.4 B,$1.1 B,$140.1 B,$8 B
#690,WestRock,$18.4 B,$862 M,$30.9 B,$8.3 B
#691,Telenor,$13.3 B,$528 M,$26.4 B,$21.9 B
#692,Commerzbank,$14.5 B,$722 M,$520.4 B,$4.6 B
#693,Siam Cement,$13.9 B,$882 M,$21.6 B,$12.8 B
#693,Tokyo Electron,$10.4 B,$1.7 B,$11.8 B,$33.4 B
#695,Dongfeng Motor Group,$14.6 B,$1.9 B,$39 B,$5.7 B
#696,Gemdale,$8.4 B,$1.5 B,$48.1 B,$8.6 B
#696,Seazen Group,$12.6 B,$1.1 B,$67.2 B,$6 B
#698,Huatai Securities,$4.4 B,$1.3 B,$80.7 B,$15.1 B
#699,Wens Foodstuff Group,$11 B,$2.3 B,$9.7 B,$22.5 B
#700,Bharti Airtel,$12 B,$-3.8 B,$49.2 B,$37.4 B
#701,China Energy Engineering,$35.7 B,$733 M,$60.5 B,$3.2 B
#702,Nucor,$22.1 B,$785 M,$17.9 B,$12.4 B
#703,Sany Heavy Industry,$10.9 B,$1.6 B,$13 B,$23.3 B
#704,Ericsson,$23.8 B,$215 M,$29.5 B,$28.9 B
#705,Baidu,$15.5 B,$297 M,$43.3 B,$27.6 B
#706,Kirin Holdings,$17.8 B,$547 M,$22.2 B,$16.9 B
#707,SM Investments,$9.2 B,$861 M,$22.6 B,$20.2 B
#708,Telkom Indonesia,$9.4 B,$1.4 B,$15.1 B,$23.3 B
#709,Riyad Bank,$3.8 B,$1.5 B,$70.9 B,$13.6 B
#710,Legend Holding,$56.3 B,$527 M,$89.6 B,$2.8 B
#711,Grupo Aval,$11.1 B,$924 M,$85 B,$6.3 B
#712,Ferguson,$22.1 B,$988 M,$12.6 B,$16.1 B
#712,Uber,$14.1 B,$-8.5 B,$31.8 B,$52.3 B
#714,Kasikornbank,$8.9 B,$1.1 B,$106.1 B,$6.4 B
#715,DP World,$7.4 B,$1.2 B,$34.1 B,$13.3 B
#716,Geely Automobile Holdings,$14.1 B,$1.2 B,$15.5 B,$14.4 B
#717,Credicorp,$5.8 B,$1.3 B,$56.9 B,$11.9 B
#718,Isbank,$13.9 B,$985 M,$90.3 B,$3.2 B
#719,LG Chem,$24.6 B,$131 M,$30.5 B,$23.7 B
#720,Analog Devices,$5.8 B,$1.2 B,$21.4 B,$40.4 B
#720,Guangzhou R&F,$13.1 B,$1.4 B,$61.3 B,$4.4 B
#722,Eletrobrás,$7 B,$2.7 B,$44.1 B,$8.1 B
#723,Coles Group,$25.8 B,$824 M,$14.2 B,$13.5 B
#723,Hermès International,$7.7 B,$1.7 B,$11.1 B,$76.2 B
#725,Raiffeisen Bank International,$5.3 B,$8.8 B,$1.3 B,$170.8 B
#726,S&P Global,$6.9 B,$2.4 B,$10.5 B,$70.6 B
#727,Axis Bank,$11.3 B,$263 M,$122.7 B,$16.7 B
#728,Samsung Fire & Marine,$19.1 B,$551 M,$73 B,$6.6 B
#729,Carlsberg,$9.9 B,$985 M,$18.5 B,$18.1 B
#730,Mega Financial Holding,$3.3 B,$937 M,$122.9 B,$13.8 B
#731,China Reinsurance Group,$20.4 B,$878 M,$54.3 B,$5 B
#731,Grupa PZU,$10.7 B,$858 M,$90.2 B,$6.3 B
#731,Mapfre,$24.5 B,$591 M,$76.7 B,$5.6 B
#734,Keyence,$5.1 B,$1.8 B,$17 B,$87.9 B
#735,Raymond James Financial,$8.3 B,$959 M,$49.8 B,$9.2 B
#736,Hikvision,$8.1 B,$1.8 B,$10.3 B,$42.5 B
